dataset_key,panel_label,method_key,method_label,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,metric_source_file,method,intervention_key,intervention_label
crowspairs,CrowS-Pairs,base,Base Model,stereotype_preference_pct,Stereotype preference %,50,63.53,13.53,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,Base Model,__base__,Base Model
crowspairs,CrowS-Pairs,icl_stereotype_replacement,ICL,stereotype_preference_pct,Stereotype preference %,50,62.53,12.53,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_sr_crowspairs.csv,ICL,stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,diy_it_stereotype_replacement,DIY IT,stereotype_preference_pct,Stereotype preference %,50,63.13,13.13,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_sr_crowspairs.csv,DIY IT,stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,diy_twopass_no_it_stereotype_replacement,DIY Two Pass (No IT),stereotype_preference_pct,Stereotype preference %,50,48.54,1.46,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_stereotype_replacement__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_stereotype_replacement__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,diy_twopass_it_stereotype_replacement,DIY Two Pass (IT),stereotype_preference_pct,Stereotype preference %,50,47.81,2.19,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__sr__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__sr__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,DIY Two Pass (IT),stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,icl_individuating,ICL,stereotype_preference_pct,Stereotype preference %,50,62.4,12.4,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_ind_crowspairs.csv,ICL,individuating,Individuation
crowspairs,CrowS-Pairs,diy_it_individuating,DIY IT,stereotype_preference_pct,Stereotype preference %,50,63.4,13.4,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_ind_crowspairs.csv,DIY IT,individuating,Individuation
crowspairs,CrowS-Pairs,diy_twopass_no_it_individuating,DIY Two Pass (No IT),stereotype_preference_pct,Stereotype preference %,50,47.02,2.98,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_individuating__individuating/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_individuating__individuating_self_debias_two_pass_individuating.csv,DIY Two Pass (No IT),individuating,Individuation
crowspairs,CrowS-Pairs,diy_twopass_it_individuating,DIY Two Pass (IT),stereotype_preference_pct,Stereotype preference %,50,42.77,7.23,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__ind__individuating/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__ind__individuating_self_debias_two_pass_individuating.csv,DIY Two Pass (IT),individuating,Individuation
crowspairs,CrowS-Pairs,icl_perspective_taking,ICL,stereotype_preference_pct,Stereotype preference %,50,62.14,12.14,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_pt_crowspairs.csv,ICL,perspective_taking,Perspective-taking
crowspairs,CrowS-Pairs,diy_it_perspective_taking,DIY IT,stereotype_preference_pct,Stereotype preference %,50,62.67,12.67,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_pt_crowspairs.csv,DIY IT,perspective_taking,Perspective-taking
crowspairs,CrowS-Pairs,diy_twopass_no_it_perspective_taking,DIY Two Pass (No IT),stereotype_preference_pct,Stereotype preference %,50,47.02,2.98,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_perspective_taking__perspective_taking/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_perspective_taking__perspective_taking_self_debias_two_pass_perspective_taking.csv,DIY Two Pass (No IT),perspective_taking,Perspective-taking
crowspairs,CrowS-Pairs,diy_twopass_it_perspective_taking,DIY Two Pass (IT),stereotype_preference_pct,Stereotype preference %,50,45.42,4.58,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__pt__perspective_taking/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__pt__perspective_taking_self_debias_two_pass_perspective_taking.csv,DIY Two Pass (IT),perspective_taking,Perspective-taking
crowspairs,CrowS-Pairs,icl_counter_imaging,ICL,stereotype_preference_pct,Stereotype preference %,50,61.8,11.8,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_ci_crowspairs.csv,ICL,counter_imaging,Counter-stereotypic imaging
crowspairs,CrowS-Pairs,diy_it_counter_imaging,DIY IT,stereotype_preference_pct,Stereotype preference %,50,62.8,12.8,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_ci_crowspairs.csv,DIY IT,counter_imaging,Counter-stereotypic imaging
crowspairs,CrowS-Pairs,diy_twopass_no_it_counter_imaging,DIY Two Pass (No IT),stereotype_preference_pct,Stereotype preference %,50,49.01,0.99,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_counter_imaging__counter_imaging/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_counter_imaging__counter_imaging_self_debias_two_pass_counter_imaging.csv,DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging
crowspairs,CrowS-Pairs,diy_twopass_it_counter_imaging,DIY Two Pass (IT),stereotype_preference_pct,Stereotype preference %,50,47.55,2.45,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__ci__counter_imaging/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__ci__counter_imaging_self_debias_two_pass_counter_imaging.csv,DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging
