model_key,model,figure,dataset_key,panel_label,method_key,method_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,group,ideal_value,metric_label,native_value,normalized_bias_error_plotted,point_recomputed
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,base,Base Model,stereotype_preference_pct,16.11,14.567983924983253,18.85800401875418,1493,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv,ok,,base,50,Stereotype preference %,66.11,16.11,16.7782987273945
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,icl,ICL,stereotype_preference_pct,6.37,25.045703839122496,29.986288848263253,1094,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_allstrat_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_scored_m4_baseicl_zero_llama70b_allstrat_crowspairs.csv,ok,,icl,50,Stereotype preference %,56.37,6.37,27.696526508226697
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,bba,BBA,stereotype_preference_pct,15.45,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/bba/crowspairs/crowspairs_metrics_overall_llama_70b_bba.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,65.45,15.45,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,cal,CAL,stereotype_preference_pct,19.56,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/cal/crowspairs/crowspairs_metrics_overall_llama_70b_cal.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,69.56,19.56,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,fairsteer,FairSteer,stereotype_preference_pct,15.78,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/fairsteer/crowspairs/crowspairs_metrics_overall_llama_70b_fairsteer.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,65.78,15.78,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,biasedit,BiasEdit,stereotype_preference_pct,1.53,,,,200,results/11_baselines_llama70b/baseline_additions_20260513_20260513_133647/biasedit/crowspairs/crowspairs_metrics_overall_llama_70b_biasedit.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,48.47,1.53,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,lftf,LFTF,stereotype_preference_pct,3.25,,,,200,results/11_baselines_llama70b/l70b_retry_lftf_peft_20260414_095445/lftf/crowspairs/crowspairs_metrics_overall_llama_70b_lftf.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,46.75,3.25,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,dpo,DPO,stereotype_preference_pct,15.72,,,,200,results/11_baselines_llama70b/completion_missing_20260513_fix1_20260513_112050/dpo/crowspairs/crowspairs_metrics_overall_llama_70b_dpo.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,65.72,15.72,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,peft,PEFT,stereotype_preference_pct,10.01,,,,200,results/11_baselines_llama70b/llama70b_baselines_retry_contrib_20260415_080908/peft/crowspairs/crowspairs_metrics_overall_llama_70b_peft.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,60.01,10.01,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,debias_llms,DebiasLLMs,stereotype_preference_pct,9.42,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_llms/crowspairs/crowspairs_metrics_overall_llama_70b_debias_llms.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,40.58,9.42,
