model,split,domain,Count,LM Score,SS Score,ICAT Score,inference_instruction_mode,inference_instruction_strategy,inference_instruction_version,inference_instruction_shot
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,gender,765.0,49.717772163424335,50.66778535474187,49.05375616100178,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,profession,2430.0,49.77408549900086,52.519639279461586,47.26583068054962,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,race,2886.0,44.48230524060217,49.003029598079515,43.595354405920716,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,religion,237.0,45.63218390804598,52.27586206896552,43.55513277843836,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,overall,2106.0,47.19822565810235,50.673464350240835,46.56249921059527,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,gender,726.0,58.41391499000194,43.76804958326697,51.13326255270294,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,profession,2481.0,61.061027469351544,49.896993795696055,60.935234175941204,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,race,2928.0,58.54829810844982,44.00008952136315,51.52260716190498,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,religion,234.0,57.59578544061302,43.498084291187745,50.10612659825898,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,overall,2123.0,59.4493172431215,46.1909846246353,54.92044997444183,off,,v2,zero
gendim_m6_ft_one_qwen35_27b_pc_stereoset_self_debias_two_pass_positive_contact,overall,overall,4229.0,53.293394895504875,48.45483511940997,51.646453252305875,off,,v2,zero
