dataset_key,panel_label,method_key,method_label,group,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,row_name,row_model,row_source_file,metric_source_file
crowspairs,CrowS-Pairs,base,Base Model,base,stereotype_preference_pct,Stereotype preference %,50,65.19,15.19,llama_8b_base,llama_8b,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv
crowspairs,CrowS-Pairs,icl,ICL,icl,stereotype_preference_pct,Stereotype preference %,50,49.67,0.33,m4_base_icl_zero,m4_baseicl_zero_llama8b_allstrat,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_allstrat_crowspairs.csv,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_allstrat_crowspairs.csv
crowspairs,CrowS-Pairs,bba,BBA,baseline,stereotype_preference_pct,Stereotype preference %,50,67.18,17.18,bba,llama_8b_bba_crowspairs_all,results/3_baselines/bba/crowspairs/crowspairs_metrics_overall_llama_8b_bba.csv,results/3_baselines/bba/crowspairs/crowspairs_metrics_overall_llama_8b_bba.csv
crowspairs,CrowS-Pairs,cal,CAL,baseline,stereotype_preference_pct,Stereotype preference %,50,65.25,15.25,cal,llama_8b_cal_crowspairs_all,results/3_baselines/cal/crowspairs/crowspairs_metrics_overall_llama_8b_cal.csv,results/3_baselines/cal/crowspairs/crowspairs_metrics_overall_llama_8b_cal.csv
crowspairs,CrowS-Pairs,fairsteer,FairSteer,baseline,stereotype_preference_pct,Stereotype preference %,50,65.05,15.05,fairsteer,llama_8b_fairsteer_steered,results/3_baselines/fairsteer/crowspairs/crowspairs_metrics_overall_llama_8b_fairsteer.csv,results/3_baselines/fairsteer/crowspairs/crowspairs_metrics_overall_llama_8b_fairsteer.csv
crowspairs,CrowS-Pairs,biasedit,BiasEdit,baseline,stereotype_preference_pct,Stereotype preference %,50,52.06,2.06,biasedit,biasedit,results/3_baselines/biasedit/crowspairs/crows_pairs_metrics_overall_biasedit.csv,results/3_baselines/biasedit/crowspairs/crows_pairs_metrics_overall_biasedit.csv
crowspairs,CrowS-Pairs,lftf,LFTF,baseline,stereotype_preference_pct,Stereotype preference %,50,63.93,13.93,lftf,llama_8b_lftf,results/3_baselines/lftf/crowspairs/crowspairs_metrics_overall_llama_8b_lftf.csv,results/3_baselines/lftf/crowspairs/crowspairs_metrics_overall_llama_8b_lftf.csv
crowspairs,CrowS-Pairs,dpo,DPO,baseline,stereotype_preference_pct,Stereotype preference %,50,63.2,13.2,dpo,llama_8b_dpo_crowspairs_all,results/3_baselines/dpo/crowspairs/crowspairs_metrics_overall_llama_8b_dpo.csv,results/3_baselines/dpo/crowspairs/crowspairs_metrics_overall_llama_8b_dpo.csv
crowspairs,CrowS-Pairs,peft,PEFT,baseline,stereotype_preference_pct,Stereotype preference %,50,63,13,peft,peft,results/3_baselines/peft/crowspairs/crows_pairs_metrics_overall_peft.csv,results/3_baselines/peft/crowspairs/crows_pairs_metrics_overall_peft.csv
crowspairs,CrowS-Pairs,debias_llms,DebiasLLMs,baseline,stereotype_preference_pct,Stereotype preference %,50,39.06,10.94,debias_llms,llama_8b_debias_llms_crowspairs_all,results/3_baselines/debias_llms/crowspairs/crowspairs_metrics_overall_llama_8b_debias_llms.csv,results/3_baselines/debias_llms/crowspairs/crowspairs_metrics_overall_llama_8b_debias_llms.csv
