model,split,domain,Count,LM Score,SS Score,ICAT Score,inference_instruction_mode,inference_instruction_strategy,inference_instruction_version,inference_instruction_shot
m4_ft500_all_opinion_v4t_stereoset,intrasentence,gender,765.0,84.59346603477039,57.27378273900014,72.28717617325223,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intrasentence,profession,2430.0,85.28473741900204,53.64746711927033,79.06327190877376,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intrasentence,race,2886.0,85.8626694067868,55.156783270821016,77.00716586308772,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intrasentence,religion,237.0,81.58620689655173,53.6551724137931,75.62197384066589,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intrasentence,overall,2106.0,85.32014559812337,54.794576657709456,77.13866602778069,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intersentence,gender,726.0,65.8437737785564,61.77071720549982,50.34320496075056,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intersentence,profession,2481.0,56.64187626529118,55.87532819012242,49.98608401803335,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intersentence,race,2928.0,62.122930066347145,50.70042244041131,61.25268418069571,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intersentence,religion,234.0,57.5507662835249,56.63026819923371,49.91922597290116,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,intersentence,overall,2123.0,60.3388836327009,54.29206367355923,55.15931702184024,strategy,all_strategies,v2,two
m4_ft500_all_opinion_v4t_stereoset,overall,overall,4229.0,72.78347697358156,54.50295257522545,66.22866607214053,strategy,all_strategies,v2,two
