dataset_key,panel_label,method_key,method_label,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,metric_source_file,setting,shot,figure_title
crowspairs,CrowS-Pairs,base,Base Model Inference,stereotype_preference_pct,Stereotype preference %,50,66.11,16.11,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,Base,,"All interventions, all-version IT checkpoint"
crowspairs,CrowS-Pairs,icl,ICL,stereotype_preference_pct,Stereotype preference %,50,56.37,6.37,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_allstrat_crowspairs.csv,ICL,0,"All interventions, all-version IT checkpoint"
crowspairs,CrowS-Pairs,it,DIY IT,stereotype_preference_pct,Stereotype preference %,50,67.04,17.04,results/new_results/m3_finetune_llama70b_ms500/evalshared/crows_pairs_metrics_overall_m3_llama70b_ms500_all_allversions_crowspairs.csv,DIY IT,,"All interventions, all-version IT checkpoint"
crowspairs,CrowS-Pairs,no_it_0,No IT 0,stereotype_preference_pct,Stereotype preference %,50,48.21,1.79,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,No IT,0,"All interventions, all-version IT checkpoint"
crowspairs,CrowS-Pairs,no_it_1,No IT 1,stereotype_preference_pct,Stereotype preference %,50,49.01,0.99,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_one__base_all_strategies__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_one__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,No IT,1,"All interventions, all-version IT checkpoint"
crowspairs,CrowS-Pairs,it_0,IT 0,stereotype_preference_pct,Stereotype preference %,50,47.28,2.72,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,IT,0,"All interventions, all-version IT checkpoint"
crowspairs,CrowS-Pairs,it_1,IT 1,stereotype_preference_pct,Stereotype preference %,50,47.28,2.72,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_one__all_allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_one__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,IT,1,"All interventions, all-version IT checkpoint"
stereoset,StereoSet,base,Base Model Inference,SS Score,SS Score overall,50,59.9998,9.9997996,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/stereoset_metrics_llama70b_plain_base_stereoset.csv,Base,,"All interventions, all-version IT checkpoint"
stereoset,StereoSet,icl,ICL,SS Score,SS Score overall,50,53.758909,3.7589086,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/stereoset_metrics_m4_baseicl_zero_llama70b_allstrat_stereoset.csv,ICL,0,"All interventions, all-version IT checkpoint"
stereoset,StereoSet,it,DIY IT,SS Score,SS Score overall,50,60.657,10.657,results/new_results/m3_finetune_llama70b_ms500/evalshared/stereoset_metrics_m3_llama70b_ms500_all_allversions_stereoset.csv,DIY IT,,"All interventions, all-version IT checkpoint"
stereoset,StereoSet,no_it_0,No IT 0,SS Score,SS Score overall,50,46.813309,3.1866908,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_metrics_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,No IT,0,"All interventions, all-version IT checkpoint"
stereoset,StereoSet,no_it_1,No IT 1,SS Score,SS Score overall,50,47.620682,2.3793181,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_one__base_all_strategies__all_strategies/stereoset/stereoset_metrics_m6_l70b_two_pass_one__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,No IT,1,"All interventions, all-version IT checkpoint"
stereoset,StereoSet,it_0,IT 0,SS Score,SS Score overall,50,45.715262,4.2847381,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_metrics_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,IT,0,"All interventions, all-version IT checkpoint"
