locator,method,metric,metric_source_file,model,panel_label,row_files
direct_metric_transform,Base Model Inference,stereotype_preference_pct,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,Qwen 27B,CrowS-Pairs,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
direct_metric_transform,ICL,stereotype_preference_pct,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_crowspairs.csv,Qwen 27B,CrowS-Pairs,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_scored_m4_baseicl_zero_qwen35_27b_allstrat_crowspairs.csv
direct_metric_transform,DIY IT,stereotype_preference_pct,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_all_allversions_crowspairs.csv,Qwen 27B,CrowS-Pairs,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_scored_m3_qwen35_27b_ms500_all_allversions_crowspairs.csv
direct_metric_transform,DIY Two Pass (No IT),stereotype_preference_pct,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,Qwen 27B,CrowS-Pairs,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv
direct_metric_transform,DIY Two Pass (IT),stereotype_preference_pct,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,Qwen 27B,CrowS-Pairs,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv
direct_metric_transform,Base Model Inference,SS Score,results/new_results/m3_qwen35_27b_base_all5/evalshared/stereoset_metrics_m3_qwen35_27b_base_stereoset.csv,Qwen 27B,StereoSet,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/stereoset_sentence_scores_m3_qwen35_27b_base_stereoset.csv
direct_metric_transform,ICL,SS Score,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/stereoset_metrics_m4_baseicl_zero_qwen35_27b_allstrat_stereoset.csv,Qwen 27B,StereoSet,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/stereoset_sentence_scores_m4_baseicl_zero_qwen35_27b_allstrat_stereoset.csv
direct_metric_transform,DIY IT,SS Score,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/stereoset_metrics_m3_qwen35_27b_ms500_all_allversions_stereoset.csv,Qwen 27B,StereoSet,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/stereoset_sentence_scores_m3_qwen35_27b_ms500_all_allversions_stereoset.csv
direct_metric_transform,DIY Two Pass (No IT),SS Score,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_metrics_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,Qwen 27B,StereoSet,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_sentence_scores_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv
direct_metric_transform,DIY Two Pass (IT),SS Score,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_metrics_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,Qwen 27B,StereoSet,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_sentence_scores_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv
