model,split,domain,Count,LM Score,SS Score,ICAT Score,inference_instruction_mode,inference_instruction_strategy,inference_instruction_version,inference_instruction_shot
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,gender,765.0,48.4080092210527,50.78602042080303,47.64701554548933,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,profession,2430.0,48.08309825477392,52.600235687852766,45.58255049348204,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,race,2886.0,44.65568161055331,49.25012918971316,43.985961767488966,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,religion,237.0,42.57471264367816,51.86206896551724,40.98917162108601,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intrasentence,overall,2106.0,46.3531862755025,50.81592572873214,45.596771129684576,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,gender,726.0,49.405104758365624,49.414472403602836,48.826543713587306,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,profession,2481.0,45.53489093302775,46.22305135847962,42.095232044002195,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,race,2928.0,51.222299780080036,45.2447788819529,46.350832547496516,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,religion,234.0,40.98275862068965,42.40421455938697,34.7568337957458,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,intersentence,overall,2123.0,48.443656247081506,46.03621453441623,44.60325103644315,off,,v2,zero
gendim_m6_noft_one_llama70b_pc_stereoset_self_debias_two_pass_positive_contact,overall,overall,4229.0,47.32823395238447,48.43085715702451,45.842938760843396,off,,v2,zero
