method,intervention_key,intervention_label,dataset_key,panel_label,metric,metric_label,ideal_value,native_value,normalized_bias_error,base_normalized_bias_error,bias_error_reduction_vs_base,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
ICL,stereotype_replacement,Stereotype replacement,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,59.35,9.35,15.19,5.84,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_sr,stereotype_replacement,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_sr_crowspairs.csv
ICL,stereotype_replacement,Stereotype replacement,stereoset,StereoSet,SS Score,SS Score overall,50,56.1306,6.13057,8.29053,2.15996,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_sr,stereotype_replacement,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_sr_stereoset.csv
ICL,stereotype_replacement,Stereotype replacement,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.234,4.234,7.39,3.156,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_sr,stereotype_replacement,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_sr_bbq.csv
ICL,stereotype_replacement,Stereotype replacement,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,1.063,1.063,3.047,1.984,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_sr,stereotype_replacement,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_sr_bbq.csv
ICL,stereotype_replacement,Stereotype replacement,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,0.276515,-0.001263,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_sr,stereotype_replacement,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_sr_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_sr_winobias.csv
ICL,stereotype_replacement,Stereotype replacement,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,0.191667,0.0125,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_sr,stereotype_replacement,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_sr_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_sr_winogender.csv
DIY IT,stereotype_replacement,Stereotype replacement,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,64.85,14.85,15.19,0.34,64.85,metric_score,target50,m3_finetune_llama_ms500,m3_finetune_sr_indft_crowspairs,stereotype_replacement,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_sr_indft_crowspairs.csv
DIY IT,stereotype_replacement,Stereotype replacement,stereoset,StereoSet,SS Score,SS Score overall,50,56.9489,6.94888,8.29053,1.34165,68.79407638,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_sr_indft_stereoset,stereotype_replacement,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_sr_indft_stereoset.csv
DIY IT,stereotype_replacement,Stereotype replacement,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.974,4.974,7.39,2.416,0.751,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_sr_indft_bbq:m3_finetune_sr_indft_bbq_instr_off_ALL,stereotype_replacement,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_sr_indft_bbq.csv
DIY IT,stereotype_replacement,Stereotype replacement,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.751,0.751,3.047,2.296,0.751,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_sr_indft_bbq:m3_finetune_sr_indft_bbq_instr_off_ALL,stereotype_replacement,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_sr_indft_bbq.csv
