model,split,domain,Count,LM Score,SS Score,ICAT Score,inference_instruction_mode,inference_instruction_strategy
m3_finetune_ci,intrasentence,gender,765.0,88.50206516510863,64.54956653652306,62.748731450319674,off,
m3_finetune_ci,intrasentence,profession,2430.0,86.32052893808095,63.03658340514448,63.814033436531346,off,
m3_finetune_ci,intrasentence,race,2886.0,86.89489718075725,63.81737764374739,62.88170498753478,off,
m3_finetune_ci,intrasentence,religion,237.0,85.79310344827586,59.54022988505747,69.42338485929449,off,
m3_finetune_ci,intrasentence,overall,2106.0,86.83838137526081,63.45113230822333,63.47689022904902,off,
m3_finetune_ci,intersentence,gender,726.0,70.22955707738316,54.41203924899577,64.0324458320831,off,
m3_finetune_ci,intersentence,profession,2481.0,74.50784586058965,52.6098196568534,70.61880504625425,off,
m3_finetune_ci,intersentence,race,2928.0,73.10121450209202,50.290593274031664,72.67636007693494,off,
m3_finetune_ci,intersentence,religion,234.0,73.62931034482759,58.314176245210724,61.38596908442331,off,
m3_finetune_ci,intersentence,overall,2123.0,73.29193164178882,51.99770719995357,70.3636152510027,off,
m3_finetune_ci,overall,overall,4229.0,80.06773078277945,57.692770527145065,67.74887719195642,off,
