model,split,domain,Count,LM Score,SS Score,ICAT Score,inference_instruction_mode,inference_instruction_strategy,inference_instruction_version,inference_instruction_shot
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intrasentence,gender,765.0,55.93209753209753,48.568638607769046,54.33091663221872,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intrasentence,profession,2430.0,57.89715493180485,49.15610852309479,56.919976620124636,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intrasentence,race,2886.0,52.7421268113674,42.539232240172765,44.872191625388005,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intrasentence,religion,237.0,50.758620689655174,36.04597701149425,36.59288149028934,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intrasentence,overall,2106.0,55.02820317156092,45.56860675254729,50.1511710124827,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intersentence,gender,726.0,54.061996779388075,40.86410167931908,44.1838986675987,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intersentence,profession,2481.0,48.55101395603806,43.64953115726197,42.38457992781488,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intersentence,race,2928.0,51.97786474501343,38.15115171395297,39.66030807308669,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intersentence,religion,234.0,53.991379310344826,33.45593869731801,36.12664552781081,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,intersentence,overall,2123.0,51.01680576236127,40.404256067155835,41.225921675015925,off,,v2,zero
gendim_m6_ft_zero_llama8b_pt_stereoset_self_debias_two_pass_perspective_taking,overall,overall,4229.0,52.9501843037465,42.95402752910773,45.488473485089095,off,,v2,zero
