model,split,domain,Count,LM Score,SS Score,ICAT Score,inference_instruction_mode,inference_instruction_strategy,inference_instruction_version,inference_instruction_shot
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intrasentence,gender,765.0,89.56290231507623,64.33006092136527,63.89406538568964,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intrasentence,profession,2430.0,86.8372411175824,59.9475555507068,69.56087551983696,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intrasentence,race,2886.0,86.68813332349339,61.010790825515855,67.59803526190507,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intrasentence,religion,237.0,83.2183908045977,53.05747126436781,78.12963403355795,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intrasentence,overall,2106.0,86.97688897136445,60.72516657274089,68.32005652743096,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intersentence,gender,726.0,72.47879837553751,62.95946806816372,53.69306491220441,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intersentence,profession,2481.0,66.29335529581172,59.0407919419599,54.30646664853453,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intersentence,race,2928.0,67.57001289072417,55.66651233121694,59.912286665408644,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intersentence,religion,234.0,59.52298850574713,61.89080459770114,45.36746399788613,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,intersentence,overall,2123.0,67.40098825586125,58.10740881844743,56.47204092470842,strategy,stereotype_replacement,v2,one
gendim_icl_noft_one_qwen35_27b_sr_stereoset,overall,overall,4229.0,77.16112359622898,59.394587186260274,62.663185535937416,strategy,stereotype_replacement,v2,one
