figure_slug,strategy_key,strategy_label,ft_checkpoint,dataset_key,panel_label,method,method_family,shot,bias_error,bias_reduction_vs_base,source_model,metric_source_file
all_strategies_all_versions,all_strategies,All interventions,all-version,crowspairs,CrowS-Pairs,DIY IT,DIY IT,,14.19,1.0,m3_finetune_allstrat,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_allstrat.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.86,14.33,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,1.06,14.129999999999999,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,1.33,13.86,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,stereoset,StereoSet,DIY IT,DIY IT,,6.92228,1.3682500000000006,m3_finetune_allstrat,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_allstrat.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,6.12982,2.160710000000001,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,4.61213,3.678400000000001,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,5.33827,2.9522600000000008,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Ambig.,DIY IT,DIY IT,,4.448,2.9419999999999993,m3_finetune_allstrat:m3_finetune_allstrat_instr_off_ALL,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,1.604,5.786,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,3.689,3.7009999999999996,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,4.501,2.8889999999999993,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Disambig.,DIY IT,DIY IT,,0.797,2.25,m3_finetune_allstrat:m3_finetune_allstrat_instr_off_ALL,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.895,2.152,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,1.283,1.7640000000000002,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,1.802,1.245,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winobias,WinoBias,DIY IT,DIY IT,,0.261364,0.015151000000000026,m3_finetune_allstrat_winobias,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_allstrat_winobias/winobias_metrics_overall_m3_finetune_allstrat_winobias.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.0896465,0.1868685,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,0.0707071,0.20580790000000002,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,0.094697,0.181818,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winogender,WinoGender,DIY IT,DIY IT,,0.225,-0.033333,m3_finetune_allstrat_winogender,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_allstrat_winogender/winogender_metrics_overall_m3_finetune_allstrat_winogender.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winogender,WinoGender,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.141667,0.05000000000000002,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winogender/winogender/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winogender,WinoGender,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,0.1,0.091667,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winogender/winogender/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,all_strategies,All interventions,all-version,winogender,WinoGender,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,0.154167,0.037500000000000006,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winogender/winogender/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,crowspairs,CrowS-Pairs,DIY IT,DIY IT,,13.99,1.1999999999999993,m3_finetune_allstrat_opinion_crowspairs,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_allstrat_opinion_crowspairs.csv
all_strategies_opinion,all_strategies,All interventions,opinion,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,1.92,13.27,m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
