model_key,model,figure,dataset_key,panel_label,method_key,method_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,ideal_value,metric_label,native_value,normalized_bias_error_plotted,point_recomputed
qwen,Qwen 27B,debiasing_method_bars,crowspairs,CrowS-Pairs,base,Base Model Inference,stereotype_preference_pct,13.53,13.98160999306038,18.84975711311589,1441,200,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv,ok,,50,Stereotype preference %,63.53,13.53,16.481609993060374
qwen,Qwen 27B,debiasing_method_bars,crowspairs,CrowS-Pairs,icl,ICL,stereotype_preference_pct,12.93,18.708333333333332,24.362179487179493,780,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_scored_m4_baseicl_zero_qwen35_27b_allstrat_crowspairs.csv,ok,,50,Stereotype preference %,37.07,12.93,21.66666666666667
qwen,Qwen 27B,debiasing_method_bars,crowspairs,CrowS-Pairs,diy_it,DIY IT,stereotype_preference_pct,13.26,14.090118302018096,18.903966597077257,1437,200,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_all_allversions_crowspairs.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_scored_m3_qwen35_27b_ms500_all_allversions_crowspairs.csv,ok,,50,Stereotype preference %,63.26,13.26,16.388308977035493
qwen,Qwen 27B,debiasing_method_bars,crowspairs,CrowS-Pairs,diy_twopass_no_it,DIY Two Pass (No IT),stereotype_preference_pct,2.32,0.13201871657753927,4.4802807486631,1496,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,50,Stereotype preference %,47.68,2.32,1.9385026737967905
qwen,Qwen 27B,debiasing_method_bars,crowspairs,CrowS-Pairs,diy_twopass_it,DIY Two Pass (IT),stereotype_preference_pct,4.71,1.5057008718980516,6.8209255533199205,1491,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,50,Stereotype preference %,45.29,4.71,4.191817572099261
qwen,Qwen 27B,debiasing_method_bars,stereoset,StereoSet,base,Base Model Inference,SS Score,7.5744385,5.970678647434383,8.974343816505085,4229,200,results/new_results/m3_qwen35_27b_base_all5/evalshared/stereoset_metrics_m3_qwen35_27b_base_stereoset.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/stereoset_sentence_scores_m3_qwen35_27b_base_stereoset.csv,ok,,50,SS Score overall,57.574439,7.5744385,7.531331283991484
qwen,Qwen 27B,debiasing_method_bars,stereoset,StereoSet,icl,ICL,SS Score,4.882944,3.250177346890519,6.447741782927407,4229,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/stereoset_metrics_m4_baseicl_zero_qwen35_27b_allstrat_stereoset.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/stereoset_sentence_scores_m4_baseicl_zero_qwen35_27b_allstrat_stereoset.csv,ok,,50,SS Score overall,45.117056,4.882944,4.882951052258214
qwen,Qwen 27B,debiasing_method_bars,stereoset,StereoSet,diy_it,DIY IT,SS Score,7.6195878,5.946441239063614,8.97552612910854,4229,200,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/stereoset_metrics_m3_qwen35_27b_ms500_all_allversions_stereoset.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/stereoset_sentence_scores_m3_qwen35_27b_ms500_all_allversions_stereoset.csv,ok,,50,SS Score overall,57.619588,7.6195878,7.578623788129576
qwen,Qwen 27B,debiasing_method_bars,stereoset,StereoSet,diy_twopass_no_it,DIY Two Pass (No IT),SS Score,2.2993789,0.88614329628754,3.7715772050130028,4229,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_metrics_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_sentence_scores_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,50,SS Score overall,47.700621,2.2993789,2.3291558288011345
qwen,Qwen 27B,debiasing_method_bars,stereoset,StereoSet,diy_twopass_it,DIY Two Pass (IT),SS Score,3.4241544,1.8042090328682936,5.024828564672504,4229,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_metrics_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_sentence_scores_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,50,SS Score overall,46.575846,3.4241544,3.4168834239773034
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Ambig.,base,Base Model Inference,Bias_score_ambig,5.708,4.78751966618784,6.772351050003414,29238,200,results/new_results/m3_qwen35_27b_base_all5/bbq/bbq_metrics_m3_qwen35_27b_base_bbq.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/bbq/m3_qwen35_27b_base_bbq/bbq_preds_m3_qwen35_27b_base_bbq_instr_off_ALL.csv,ok,,0,Bias score ambig.,5.708,5.708,5.70832478281688
