model_key,model,figure,dataset_key,method_key,method_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,accuracy,accuracy_percent_plotted,benchmark_label,point_recomputed,source_file
qwen,Qwen 27B,reasoning_performance,arc_challenge,base,Base Model Inference,accuracy,84.129693,81.56783276450513,86.43344709897612,1172,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_challenge/qwen35_firstpass_base_qwen35_27b_arc_challenge/arc_challenge_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_challenge.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_challenge/qwen35_firstpass_base_qwen35_27b_arc_challenge/arc_challenge_predictions_qwen35_firstpass_base_qwen35_27b_arc_challenge.csv,ok,,0.84129693,84.129693,ARC-Challenge,84.1296928327645,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_challenge/qwen35_firstpass_base_qwen35_27b_arc_challenge/arc_challenge_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_challenge.csv
qwen,Qwen 27B,reasoning_performance,arc_challenge,icl,ICL,accuracy,90.784983,89.24701365187713,92.74744027303754,1172,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_challenge/m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_challenge/m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge/arc_challenge_predictions_m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge.csv,ok,,0.90784983,90.784983,ARC-Challenge,90.78498293515358,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_challenge/m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge.csv
qwen,Qwen 27B,reasoning_performance,arc_challenge,diy_it,DIY IT,accuracy,91.211604,89.50511945392492,92.83276450511946,1172,200,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_challenge/m3_qwen35_27b_ms500_all_allversions_arc_challenge/arc_challenge_metrics_overall_m3_qwen35_27b_ms500_all_allversions_arc_challenge.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/reasoning/arc_challenge/m3_qwen35_27b_ms500_all_allversions_arc_challenge/arc_challenge_predictions_m3_qwen35_27b_ms500_all_allversions_arc_challenge.csv,ok,,0.91211604,91.211604,ARC-Challenge,91.21160409556313,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_challenge/m3_qwen35_27b_ms500_all_allversions_arc_challenge/arc_challenge_metrics_overall_m3_qwen35_27b_ms500_all_allversions_arc_challenge.csv
qwen,Qwen 27B,reasoning_performance,arc_challenge,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,83.532423,81.99658703071673,86.17747440273038,1172,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_preds_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_arc_challenge_predictions_qwen35_firstpass_base_qwen35_27b_arc_challenge.csv,ok,,0.83532423,83.532423,ARC-Challenge,84.1296928327645,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
qwen,Qwen 27B,reasoning_performance,arc_challenge,diy_twopass_it,DIY Two Pass (IT),accuracy,92.320819,89.419795221843,93.00341296928327,1172,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_preds_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_arc_challenge_predictions_qwen35_firstpass_all_allversions_arc_challenge.csv,ok,,0.92320819,92.320819,ARC-Challenge,91.29692832764505,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
qwen,Qwen 27B,reasoning_performance,arc_easy,base,Base Model Inference,accuracy,88.468013,87.20538720538721,89.77272727272727,2376,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_easy/qwen35_firstpass_base_qwen35_27b_arc_easy/arc_easy_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_easy.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_easy/qwen35_firstpass_base_qwen35_27b_arc_easy/arc_easy_predictions_qwen35_firstpass_base_qwen35_27b_arc_easy.csv,ok,,0.88468013,88.468013,ARC-Easy,88.46801346801347,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_easy/qwen35_firstpass_base_qwen35_27b_arc_easy/arc_easy_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_easy.csv
qwen,Qwen 27B,reasoning_performance,arc_easy,icl,ICL,accuracy,95.244108,94.44444444444444,96.04482323232324,2376,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_easy/m4_baseicl_zero_qwen35_27b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_easy.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_easy/m4_baseicl_zero_qwen35_27b_allstrat_arc_easy/arc_easy_predictions_m4_baseicl_zero_qwen35_27b_allstrat_arc_easy.csv,ok,,0.95244108,95.244108,ARC-Easy,95.24410774410774,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_easy/m4_baseicl_zero_qwen35_27b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_easy.csv
qwen,Qwen 27B,reasoning_performance,arc_easy,diy_it,DIY IT,accuracy,93.560606,92.5925925925926,94.49074074074075,2376,200,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_easy/m3_qwen35_27b_ms500_all_allversions_arc_easy/arc_easy_metrics_overall_m3_qwen35_27b_ms500_all_allversions_arc_easy.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/reasoning/arc_easy/m3_qwen35_27b_ms500_all_allversions_arc_easy/arc_easy_predictions_m3_qwen35_27b_ms500_all_allversions_arc_easy.csv,ok,,0.93560606,93.560606,ARC-Easy,93.56060606060606,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_easy/m3_qwen35_27b_ms500_all_allversions_arc_easy/arc_easy_metrics_overall_m3_qwen35_27b_ms500_all_allversions_arc_easy.csv
qwen,Qwen 27B,reasoning_performance,arc_easy,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,89.309764,87.16224747474747,89.85900673400673,2376,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_preds_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_arc_easy_predictions_qwen35_firstpass_base_qwen35_27b_arc_easy.csv,ok,,0.89309764,89.309764,ARC-Easy,88.46801346801347,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
qwen,Qwen 27B,reasoning_performance,arc_easy,diy_twopass_it,DIY Two Pass (IT),accuracy,94.570707,92.67676767676768,94.57070707070707,2376,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_metrics_overall.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_preds_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_arc_easy_predictions_qwen35_firstpass_all_allversions_arc_easy.csv,ok,,0.94570707,94.570707,ARC-Easy,93.56060606060606,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_metrics_overall.csv
