dataset_key,panel_label,method,setting,shot,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
crowspairs,CrowS-Pairs,Base Model Inference,Base,,stereotype_preference_pct,Stereotype preference %,50,65.19,15.19,65.19,metric_score,target50,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv
crowspairs,CrowS-Pairs,DIY-Show 0-shot,ICL,0,stereotype_preference_pct,Stereotype preference %,50,49.67,0.33,,,lower,m4_base_icl,crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_allstrat_crowspairs,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_allstrat_crowspairs.csv
crowspairs,CrowS-Pairs,DIY-Show 1-shot,ICL,1,stereotype_preference_pct,Stereotype preference %,50,20.89,29.11,,,lower,m4_base_icl,crows_pairs_metrics_overall_m4_baseicl_one_llama8b_allstrat_crowspairs,all_strategies,results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_one_llama8b_allstrat_crowspairs.csv
crowspairs,CrowS-Pairs,DIY IT,DIY IT,,stereotype_preference_pct,Stereotype preference %,50,64.19,14.19,64.19,metric_score,target50,m3_finetune_llama_ms500,m3_finetune_allstrat,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_allstrat.csv
crowspairs,CrowS-Pairs,"DIY Two Pass (No IT), 0-shot",No IT,0,stereotype_preference_pct,Stereotype preference %,50,45.82,4.18,45.82,metric_score,target50,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
crowspairs,CrowS-Pairs,"DIY Two Pass (No IT), 1-shot",No IT,1,stereotype_preference_pct,Stereotype preference %,50,45.82,4.18,45.82,metric_score,target50,m6_self_debiasing,m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260319_shot125_twopass_sep/eval/m6_two_pass_one__base__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies.csv
crowspairs,CrowS-Pairs,"DIY Two Pass (No IT), 2-shot",No IT,2,stereotype_preference_pct,Stereotype preference %,50,47.55,2.45,47.55,metric_score,target50,m6_self_debiasing,m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__base__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies.csv
crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 0-shot",IT,0,stereotype_preference_pct,Stereotype preference %,50,49.14,0.86,49.14,metric_score,target50,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 1-shot",IT,1,stereotype_preference_pct,Stereotype preference %,50,48.94,1.06,48.94,metric_score,target50,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 2-shot",IT,2,stereotype_preference_pct,Stereotype preference %,50,48.67,1.33,48.67,metric_score,target50,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
